
Command	                Description


docker compose up	    Create and start containers
docker compose up -d	Create and start containers
docker compose down	    Stop and remove containers, networks
docker compose ps	    List containers
docker compose logs	    View output from containers
docker compose version	Show the Docker Compose version information

docker compose top	    Display the running processes
docker compose build	Build or rebuild services
docker compose config	Parse, resolve and render compose file in canonical format
docker compose cp	    Copy files/folders between a service container and the local filesystem
docker compose create	Creates containers for a service.

docker compose events	Receive real time events from containers.
docker compose exec	    Execute a command in a running container.
docker compose images	List images used by the created containers
docker compose kill	    Force stop service containers.

docker compose ls	    List running compose projects
docker compose pause	Pause services
docker compose unpause	Unpause services
docker compose port	    Print the public port for a port binding.

docker compose pull	    Pull service images
docker compose push	    Push service images
docker compose restart	Restart service containers
docker compose rm	    Removes stopped service containers
docker compose run	    Run a one-off command on a service.
docker compose start	Start services
docker compose stop	    Stop services



